billing_month,service_id,service_name,service_type,region_id,region_name,country_group,cost_center_id,team,business_unit,compute_hours,storage_gb,monthly_cost_eur,utilization_pct,data_quality_status
2026-05,S003,Database,Business Apps,R002,eu-west-1,Ireland,C001,Data Team,Analytics,2952,17301,7647.98,34.9,passed
2026-05,S003,Database,Business Apps,R003,us-east-1,United States,C004,Customer Platform,Product,3388,7851,5839.71,88.6,passed
2026-05,S004,Network,Connectivity,R001,eu-central-1,Germany,C004,Customer Platform,Product,1165,1259,3747.32,31.7,passed
2026-05,S004,Network,Connectivity,R002,eu-west-1,Ireland,C003,Finance,Business Services,832,284,3758.18,73.2,passed
2026-05,S004,Network,Connectivity,R003,us-east-1,United States,C003,Finance,Business Services,591,1592,3603.52,55.3,passed
2026-05,S005,Analytics,Reporting,R001,eu-central-1,Germany,C004,Customer Platform,Product,3131,1267,5025.44,33.2,passed
2026-05,S005,Analytics,Reporting,R002,eu-west-1,Ireland,C001,Data Team,Analytics,1838,1906,4265.61,84.3,passed
2026-05,S005,Analytics,Reporting,R003,us-east-1,United States,C001,Data Team,Analytics,1605,1877,4978.06,52.1,passed
2026-05,S006,Backup,Operations,R001,eu-central-1,Germany,C003,Finance,Business Services,266,20770,2827.02,43.9,passed
2026-05,S006,Backup,Operations,R002,eu-west-1,Ireland,C003,Finance,Business Services,752,21433,2490.04,58.0,passed
2026-05,S006,Backup,Operations,R003,us-east-1,United States,C002,IT Operations,Infrastructure,994,9776,2779.97,75.6,passed
2026-06,S001,Compute,Core Infrastructure,R001,eu-central-1,Germany,C003,Finance,Business Services,1664,1581,16764.07,32.8,passed
2026-06,S001,Compute,Core Infrastructure,R002,eu-west-1,Ireland,C002,IT Operations,Infrastructure,2302,864,14762.52,38.9,passed
2026-06,S001,Compute,Core Infrastructure,R003,us-east-1,United States,C001,Data Team,Analytics,3962,2144,9304.61,68.3,passed
2026-06,S002,Storage,Data Platform,R001,eu-central-1,Germany,C002,IT Operations,Infrastructure,1382,19287,6563.83,75.2,passed
2026-06,S002,Storage,Data Platform,R002,eu-west-1,Ireland,C003,Finance,Business Services,1067,867,5772.81,49.5,passed
2026-06,S002,Storage,Data Platform,R003,us-east-1,United States,C002,IT Operations,Infrastructure,797,7683,4603.9,65.4,passed
2026-06,S003,Database,Business Apps,R001,eu-central-1,Germany,C004,Customer Platform,Product,5770,13416,8926.77,33.2,passed
2026-06,S003,Database,Business Apps,R002,eu-west-1,Ireland,C001,Data Team,Analytics,705,5004,10127.25,38.5,passed
2026-06,S003,Database,Business Apps,R003,us-east-1,United States,C002,IT Operations,Infrastructure,1465,2393,5881.02,91.2,passed
2026-06,S004,Network,Connectivity,R001,eu-central-1,Germany,C001,Data Team,Analytics,1340,2924,4573.37,81.9,passed
2026-06,S004,Network,Connectivity,R002,eu-west-1,Ireland,C001,Data Team,Analytics,610,434,3040.7,28.9,passed
2026-06,S004,Network,Connectivity,R003,us-east-1,United States,C003,Finance,Business Services,870,1510,4229.48,65.4,passed
2026-06,S005,Analytics,Reporting,R001,eu-central-1,Germany,C001,Data Team,Analytics,5714,2554,5988.61,36.3,passed
2026-06,S005,Analytics,Reporting,R002,eu-west-1,Ireland,C003,Finance,Business Services,4994,930,3901.12,76.4,passed
2026-06,S005,Analytics,Reporting,R003,us-east-1,United States,C002,IT Operations,Infrastructure,699,723,3593.74,58.5,passed
2026-06,S006,Backup,Operations,R001,eu-central-1,Germany,C003,Finance,Business Services,1177,8627,3425.71,63.9,passed
2026-06,S006,Backup,Operations,R002,eu-west-1,Ireland,C002,IT Operations,Infrastructure,866,19958,2949.56,54.9,passed
2026-06,S006,Backup,Operations,R003,us-east-1,United States,C001,Data Team,Analytics,534,15981,2795.77,67.5,passed
